timestamp,vehicle,station,operation,details
2024-05-21,9,1009,add,4
2024-05-21,9,1009,warning,快要沒車
2024-05-21,9,1290,add,2
2024-05-21,9,1085,add,1
2024-05-21,9,1085,warning,快要沒車
2024-05-21,10,1294,add,4
2024-05-21,10,1294,warning,快要沒車
2024-05-21,10,1314,add,4
2024-05-21,10,1314,warning,快要沒車
2024-05-21,10,1243,add,1
2024-05-21,10,1725,add,4
2024-05-21,10,1725,warning,快要沒車
2024-05-21,10,1071,add,2
2024-05-21,10,1336,add,4
2024-05-21,10,1336,warning,快要沒車
2024-05-21,10,1665,add,4
2024-05-21,10,1665,warning,快要沒車
2024-05-21,10,1178,add,4
2024-05-21,10,1178,warning,快要沒車
2024-05-21,10,1383,add,4
2024-05-21,10,1383,warning,快要沒車
2024-05-21,10,1335,add,4
2024-05-21,10,1335,warning,快要沒車
2024-05-21,10,1022,add,4
2024-05-21,10,1022,warning,快要沒車
2024-05-21,10,1696,add,4
2024-05-21,10,1696,warning,快要沒車
2024-05-21,10,1009,add,4
2024-05-21,10,1009,warning,快要沒車
2024-05-21,10,1290,add,2
2024-05-21,10,1085,add,1
2024-05-21,10,1085,warning,快要沒車
